ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-3724935,Source1,2,2022-12-06 07:37:00.000000000,2022-12-06 09:36:57.000000000,37.731667,-122.433721,37.731928,-122.415755,0.982,Incident on I-280 NB near SAN JOSE AVE Left shoulder closed.,I-280 N,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2022-12-06 07:56:00,49.0,49.0,86.0,30.02,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3728205,Source1,2,2022-12-31 13:06:00,2022-12-31 19:35:00,37.782421,-122.39587,37.821949,-122.326346,4.676,Slow traffic on San Francisco-Oakland Bay Brg E - I-80 E - James Lick Fwy N from 4th St/5th St (I-80) to Bay Bridge Toll Plz (I-80) due to accident.,I-80 E,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2022-12-31 13:02:00,52.0,52.0,97.0,29.64,0.25,NE,14.0,0.08,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3735517,Source1,2,2022-12-15 17:14:30.000000000,2022-12-15 19:02:00.000000000,37.756818,-122.403585,37.693415,-122.39176299999998,4.428,Slow traffic on James Lick Fwy S - US-101 S - Bayshore Fwy S from Vermont St (US-101) to Sierra Point Rd (US-101) due to accident.,Footbridge,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2022-12-15 16:56:00,51.0,51.0,68.0,30.14,10.0,WNW,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-3738281,Source1,2,2022-12-11 11:24:00,2022-12-11 13:46:24,37.770369,-122.419869,37.770871,-122.419725,0.036,Accident on Mission St from 16th St to Duboce Ave/13th St.,Mission St,San Francisco,San Francisco,CA,94103-2432,US,US/Pacific,KSFO,2022-12-11 10:56:00,52.0,52.0,69.0,29.83,10.0,SW,14.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,True,True,False,True,False,Day,Day,Day,Day
A-3739772,Source1,2,2022-12-16 22:57:00,2022-12-17 02:40:00,37.787388,-122.389345,37.805762,-122.369655,1.664,Stationary traffic on San Francisco-Oakland Bay Brg E - I-80 E from Fremont St/Harrison St (I-80) to Treasure Island Rd (I-80) due to accident.,I-80 E,San Francisco,San Francisco,CA,94111,US,US/Pacific,KOAK,2022-12-16 22:53:00,47.0,43.0,63.0,30.15,10.0,ESE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3742301,Source1,2,2022-12-07 08:48:00,2022-12-07 10:07:46,37.76630759,-122.40523696,37.74696759,-122.40455696,1.337,Incident on US-101 SB near CESAR CHAVEZ ST Right shoulder closed.,US-101,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2022-12-07 08:56:00,48.0,48.0,86.0,30.21,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3750050,Source1,2,2022-11-14 18:12:00.000000000,2022-11-14 19:57:30.000000000,37.766317,-122.405257,37.7442,-122.405614,1.528,Slow traffic on James Lick Fwy S - US-101 S from I-80 (US-101) to I-280/Alemany Blvd (US-101) due to accident.,San Francisco-Oakland Bay Bridge,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2022-11-14 17:56:00,56.0,56.0,64.0,30.1,10.0,WNW,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-3752487,Source1,2,2022-12-19 12:07:30.000000000,2022-12-19 18:55:00.000000000,37.805831,-122.369732,37.766317,-122.405257,3.349,Slow traffic on San Francisco-Oakland Bay Brg W - James Lick Fwy S - I-80 W from Treasure Island Rd (I-80) to US-101 (I-80) due to accident.,Bay Brg,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2022-12-19 11:53:00,48.0,43.0,68.0,30.29,10.0,ENE,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3753105,Source1,2,2022-11-22 17:34:00.000000000,2022-11-22 19:52:12.000000000,37.731463,-122.416406,37.731863,-122.414769,0.094,Accident on Alemany Blvd from I-280/John F Foran Fwy to US-101/James Lick Fwy.,Alemany Blvd,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2022-11-22 17:56:00,56.0,56.0,62.0,30.12,10.0,WNW,10.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-3756019,Source1,2,2022-12-22 11:41:00,2022-12-22 12:21:30,37.76905417,-122.40946412,37.76630417,-122.40524412,0.299,Slow traffic on Central Skwy S - US-101 S - Central Fwy from Bryant St to San Francisco-Oakland Bay Bridge due to accident.,Central Fwy,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2022-12-22 11:56:00,51.0,51.0,80.0,30.15,7.0,NNE,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3770862,Source1,2,2022-10-09 19:06:00,2022-10-09 21:11:32,37.748152,-122.404212,37.738024,-122.408068,0.731,Accident on James Lick Fwy S - US-101 S from Vermont St (US-101) to I-280/Alemany Blvd (US-101).,James Lick Fwy S,San Francisco,San Francisco,CA,94124,US,US/Pacific,KSFO,2022-10-09 18:56:00,57.0,57.0,89.0,29.99,10.0,WNW,17.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-3773319,Source1,2,2022-11-24 10:57:30,2022-11-24 18:35:30,37.770949,-122.405755,37.81297100000001,-122.361863,3.765,Stationary traffic on San Francisco-Oakland Bay Brg E - I-80 E - James Lick Fwy N from US-101 (I-80) to Macalla Rd/Hillcrest Rd (I-80) due to accident.,San Francisco-Oakland Bay Bridge,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2022-11-24 10:56:00,59.0,59.0,67.0,30.19,10.0,ENE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3773505,Source1,2,2022-10-01 13:06:30,2022-10-01 19:04:30,37.770949,-122.405755,37.788516,-122.388139,1.549,Slow traffic on I-80 E - James Lick Fwy N from US-101 (I-80) to Treasure Island Rd (I-80) due to accident.,San Francisco-Oakland Bay Bridge,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2022-10-01 12:56:00,66.0,66.0,73.0,29.85,10.0,ENE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3775398,Source1,2,2022-12-20 09:59:00,2022-12-20 10:45:00,37.80318,-122.469419,37.811069,-122.47749,0.701,Stationary traffic on US-101 N - CA-1 N from Marina Blvd (US-101) to Golden Gate Recreation Area (US-101) due to accident.,Presidio Pkwy,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2022-12-20 09:56:00,48.0,45.0,80.0,30.38,4.0,NNE,6.0,0.0,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3776172,Source1,2,2022-11-18 16:29:00,2022-11-18 17:49:16,37.786095,-122.387784,37.787075,-122.3877,0.068,Incident on EMBARCADERO near BRYANT ST Drive with caution.,The Embarcadero,San Francisco,San Francisco,CA,94111,US,US/Pacific,KOAK,2022-11-18 16:53:00,57.0,57.0,69.0,30.04,10.0,WNW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3778872,Source1,2,2022-12-13 23:18:00,2022-12-14 00:01:30,37.77094245,-122.40575194,37.77608245,-122.40469194,0.36,Stationary traffic on I-80 E - James Lick Fwy N from US-101 (I-80) to 7th St/Bryant St (I-80) due to accident.,I-80,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2022-12-13 22:56:00,43.0,39.0,89.0,30.2,10.0,SSW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3781342,Source1,2,2022-11-10 12:11:00,2022-11-10 14:20:17,37.774845,-122.401094,37.774782,-122.401024,0.006,Accident on 6th st from Bryant St (6th St) to Townsend St (6th St).,Brannan St,San Francisco,San Francisco,CA,94103-4993,US,US/Pacific,KSFO,2022-11-10 11:56:00,56.0,56.0,60.0,30.26,10.0,CALM,0.0,0.0,Fair,True,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-3781585,Source1,2,2022-11-17 08:23:00,2022-11-17 11:05:00,37.749443,-122.403798,37.693415,-122.39176299999998,3.927,Slow traffic on James Lick Fwy S - US-101 S - Bayshore Fwy S from Vermont St (US-101) to Sierra Point Rd (US-101) due to accident.,Cesar Chavez St,San Francisco,San Francisco,CA,94124,US,US/Pacific,KSFO,2022-11-17 07:56:00,48.0,46.0,93.0,30.27,10.0,S,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3784997,Source1,2,2022-11-04 18:13:00,2022-11-04 20:32:29,37.712777,-122.396377,37.701033,-122.393485,0.827,Accident on James Lick Fwy S - US-101 S - Bayshore Fwy S from 3rd St/Bayshore Blvd (US-101) to Sierra Point Rd (US-101).,James Lick Fwy S,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2022-11-04 17:56:00,58.0,58.0,84.0,30.29,10.0,W,15.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-3792586,Source1,2,2022-12-31 02:17:00.000000000,2022-12-31 05:10:03.000000000,37.810573,-122.364509,37.818824,-122.349734,0.988,Accident on San Francisco-Oakland Bay Brg E - I-80 E from Treasure Island Rd (I-80) to Bay Bridge Toll Plz (I-80).,Bay Brg,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2022-12-31 01:53:00,56.0,56.0,100.0,29.87,3.0,S,6.0,0.05,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3792665,Source1,2,2022-11-30 17:36:00.000000000,2022-11-30 18:53:21.000000000,37.780209,-122.419108,37.78008,-122.420168,0.059,Incident on MCALLISTER ST near VAN NESS AVE Drive with caution.,McAllister St,San Francisco,San Francisco,CA,94102,US,US/Pacific,KSFO,2022-11-30 17:56:00,52.0,52.0,69.0,29.93,10.0,SW,6.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,True,False,False,False,False,Night,Night,Day,Day
A-3792721,Source1,2,2022-10-12 15:00:34.000000000,2022-10-12 16:15:35.000000000,37.795745,-122.423329,37.796697,-122.423541,0.067,Incident on US-101 NB near BROADWAY Expect delays.,Broadway St,San Francisco,San Francisco,CA,94109,US,US/Pacific,KOAK,2022-10-12 14:53:00,67.0,67.0,66.0,30.07,10.0,WNW,12.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-3794488,Source1,2,2022-11-04 08:55:00,2022-11-04 11:04:18,37.734068,-122.405989,37.734634,-122.406332,0.043,Accident on James Lick Fwy N - US-101 N from Bacon St (US-101) to I-280/Alemany Blvd (US-101).,James Lick Fwy N,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2022-11-04 08:56:00,52.0,52.0,66.0,30.35,10.0,SSE,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3796661,Source1,2,2022-12-05 19:10:30,2022-12-05 19:32:30,37.812153,-122.477724,37.807138,-122.475672,0.364,Stationary traffic on CA-1 S - US-101 S from Golden Gate Recreation Area (US-101) to Golden Gate Bridge/Toll Plaza (US-101) due to accident.,Golden Gate Brg S,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2022-12-05 18:56:00,52.0,52.0,83.0,29.99,10.0,S,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3797216,Source1,2,2022-12-03 22:25:30,2022-12-04 00:27:30,37.79472,-122.38163,37.775898,-122.405384,1.837,Stationary traffic on San Francisco-Oakland Bay Brg W - James Lick Fwy S - I-80 W from Treasure Island Rd (I-80) to 7th St/Bryant St (I-80) due to accident.,I-80 W,San Francisco,San Francisco,CA,94111,US,US/Pacific,KOAK,2022-12-03 22:53:00,48.0,48.0,93.0,29.98,10.0,ESE,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3800770,Source1,2,2022-10-04 17:21:00,2022-10-04 18:42:54,37.787465,-122.391156,37.786755,-122.392062,0.07,Incident on HARRISON ST near FREMONT ST Drive with caution.,Harrison St,San Francisco,San Francisco,CA,94105-2005,US,US/Pacific,KOAK,2022-10-04 16:53:00,64.0,64.0,72.0,29.98,10.0,W,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3801478,Source1,2,2022-12-27 15:54:00,2022-12-27 19:25:30,37.785704,-122.391362,37.766317,-122.405257,1.54,Slow traffic on James Lick Fwy S - I-80 W from Treasure Island Rd (I-80) to US-101 (I-80) due to accident.,I-80 W,San Francisco,San Francisco,CA,94105,US,US/Pacific,KOAK,2022-12-27 15:53:00,55.0,55.0,86.0,29.89,7.0,W,8.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3801681,Source1,2,2022-11-17 11:57:30,2022-11-17 19:33:00,37.770949,-122.405755,37.788516,-122.388139,1.549,Stationary traffic on I-80 E - James Lick Fwy N from US-101 (I-80) to Treasure Island Rd (I-80) due to accident.,San Francisco-Oakland Bay Bridge,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2022-11-17 11:56:00,57.0,57.0,62.0,30.26,10.0,NW,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3811028,Source1,2,2022-12-31 04:41:00,2022-12-31 13:34:03,37.815022,-122.358505,37.821613,-122.330131,1.614,Accident on San Francisco-Oakland Bay Brg E - I-80 E from Macalla Rd/Hillcrest Rd (I-80) to Bay Bridge Toll Plz (I-80).,I-80 E,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2022-12-31 04:53:00,57.0,57.0,100.0,29.78,2.0,SSE,5.0,0.29,Heavy Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3812147,Source1,2,2022-10-12 06:43:00,2022-10-12 09:26:30,37.754305,-122.406525,37.75346,-122.406441,0.059,Incident on POTRERO AVE near 23RD ST Drive with caution.,Potrero Ave,San Francisco,San Francisco,CA,94110-3521,US,US/Pacific,KSFO,2022-10-12 06:38:00,57.0,57.0,87.0,30.08,10.0,SW,3.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-3813013,Source1,2,2022-12-31 13:46:30,2022-12-31 19:35:00,37.778073,-122.401207,37.821972,-122.326055,5.102,Slow traffic on San Francisco-Oakland Bay Brg E - I-80 E - James Lick Fwy N from 7th St/Bryant St (I-80) to Bay Bridge Toll Plz (I-80) due to accident.,I-80 E,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2022-12-31 13:51:00,52.0,52.0,88.0,29.62,0.5,NE,18.0,0.37,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3813014,Source1,2,2022-12-17 10:25:30,2022-12-17 19:34:30,37.770949,-122.405755,37.786612,-122.390136,1.378,Slow traffic on I-80 E - James Lick Fwy N from US-101 (I-80) to Treasure Island Rd (I-80) due to accident.,San Francisco-Oakland Bay Bridge,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2022-12-17 09:56:00,48.0,46.0,77.0,30.13,10.0,ESE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3814831,Source1,2,2022-10-01 20:01:00.000000000,2022-10-01 22:21:54.000000000,37.772076,-122.494941,37.773949,-122.49505,0.13,Accident on 35th Ave from Fulton St to Cabrillo St.,Fulton St,San Francisco,San Francisco,CA,94121-3423,US,US/Pacific,KSFO,2022-10-01 19:56:00,63.0,63.0,78.0,29.86,10.0,WSW,8.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-3817509,Source1,2,2022-12-06 08:26:00,2022-12-06 10:38:44,37.737912,-122.408049,37.72793400000001,-122.403049,0.742,Accident on James Lick Fwy S - US-101 S from Army St/Potrero Ave (US-101) to I-280/Alemany Blvd (US-101).,James Lick Fwy S,San Francisco,San Francisco,CA,94124,US,US/Pacific,KSFO,2022-12-06 08:19:00,50.0,50.0,83.0,30.03,10.0,SE,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3818517,Source1,2,2022-12-07 06:58:00,2022-12-07 08:18:11,37.78629,-122.47326,37.784432,-122.473137,0.129,Incident on 14TH AVE near LAKE ST Drive with caution.,14th Ave,San Francisco,San Francisco,CA,94118-1006,US,US/Pacific,KSFO,2022-12-07 06:56:00,43.0,43.0,93.0,30.17,10.0,CALM,0.0,0.0,Fair,False,False,True,False,False,False,False,False,False,True,False,False,False,Night,Day,Day,Day
A-3824788,Source1,2,2022-12-02 08:19:00,2022-12-02 09:15:00,37.76905417,-122.40946412,37.76630417,-122.40524412,0.299,Stationary traffic on Central Skwy S - US-101 S - Central Fwy from Bryant St to San Francisco-Oakland Bay Bridge due to accident.,Central Fwy,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2022-12-02 07:56:00,41.0,41.0,96.0,30.18,10.0,SSW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3825569,Source1,2,2022-10-04 07:51:00,2022-10-04 10:11:53,37.733248,-122.412009,37.736536,-122.403619,0.512,Accident on John F Foran Fwy - I-280 N from Alemany Blvd (I-280) to US-101 (I-280).,I-280,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2022-10-04 07:56:00,58.0,58.0,90.0,30.04,10.0,W,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3829731,Source1,2,2022-12-31 11:17:00,2022-12-31 19:35:00,37.784387,-122.393406,37.82008,-122.3411,3.773,Slow traffic on San Francisco-Oakland Bay Brg E - I-80 E - James Lick Fwy N from 4th St/5th St (I-80) to Bay Bridge Toll Plz (I-80) due to accident.,I-80 E,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2022-12-31 11:06:00,55.0,55.0,100.0,29.73,2.0,CALM,0.0,0.05,Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-3836042,Source1,2,2022-12-29 22:01:00,2022-12-29 23:23:44,37.772004,-122.423729,37.77180900000001,-122.425341,0.089,Incident on US-101 NB near OCTAVIA ST Drive with caution.,Waller St,San Francisco,San Francisco,CA,94102-6230,US,US/Pacific,KSFO,2022-12-29 21:56:00,54.0,54.0,97.0,29.93,10.0,ESE,12.0,0.01,Cloudy,True,False,True,False,False,False,True,False,False,False,True,True,False,Night,Night,Night,Night
A-3837559,Source1,2,2022-11-10 17:40:30,2022-11-10 17:57:00,37.753131,-122.403012,37.739339,-122.408147,0.993,Slow traffic on James Lick Fwy S - US-101 S from Vermont St (US-101) to I-280/Alemany Blvd (US-101) due to accident.,James Lick Fwy S,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2022-11-10 17:53:00,53.0,53.0,80.0,30.19,10.0,WNW,12.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-3837945,Source1,2,2022-11-10 05:47:00,2022-11-10 19:25:00,37.816566,-122.35666,37.766317,-122.405257,4.37,Stationary traffic on San Francisco-Oakland Bay Brg W - James Lick Fwy S - I-80 W from Bay Bridge Toll Plz (I-80) to US-101 (I-80) due to accident.,I-80 W,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2022-11-10 05:53:00,43.0,40.0,86.0,30.28,10.0,E,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-3845847,Source1,2,2022-10-07 05:44:00.000000000,2022-10-07 19:25:00.000000000,37.808305,-122.367055,37.78039,-122.399022,2.601,Slow traffic on San Francisco-Oakland Bay Brg W - James Lick Fwy S - I-80 W from Treasure Island Rd (I-80) to 4th St/5th St (I-80) due to accident.,I-80 W,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2022-10-07 05:53:00,55.0,55.0,93.0,30.1,10.0,N,3.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,True,False,False,False,Night,Night,Night,Day
A-3846616,Source1,2,2022-11-08 20:11:00,2022-11-08 23:01:04,37.761483,-122.393486,37.76276,-122.393629,0.089,Accident on Pennsylvania Ave from I-280/John F Foran Fwy to 18th St.,19th St,San Francisco,San Francisco,CA,94107-2980,US,US/Pacific,KOAK,2022-11-08 19:53:00,49.0,45.0,80.0,29.72,9.0,S,8.0,0.1,Light Rain,False,False,True,False,False,False,False,False,False,True,False,False,False,Night,Night,Night,Night
A-3848775,Source1,2,2022-12-31 02:17:00,2022-12-31 05:14:49,37.808001,-122.367269,37.808254,-122.366975,0.024,Accident on San Francisco-Oakland Bay Brg E - I-80 E from Fremont St/Harrison St (I-80) to Treasure Island Rd (I-80).,I-80 E,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2022-12-31 01:53:00,56.0,56.0,100.0,29.87,3.0,S,6.0,0.05,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
